Date,Tel,Freq_Obs,Flux,eFlux
2022-10-04T22:07,NOEMA,77.256,282.86253,74.96451
2022-10-04T22:07,NOEMA,92.744,245.06647,64.90711
2022-10-10T21:16,NOEMA,134.75602683896,212.14189,47.49930
2022-10-10T21:16,NOEMA,150.2438018555,231.84039,57.26809
2022-10-11T00:45,NOEMA,77.256185684745,238.87508,35.17173
2022-10-11T00:45,NOEMA,92.743973884346,283.83363,32.34012
2022-10-13T23:24,NOEMA,77.256130049939,169.52503,39.22323
2022-10-13T23:24,NOEMA,92.743979140582,178.58792,37.40251
2022-10-14T02:04,NOEMA,134.75601130298,276.50940,86.98813
2022-10-14T02:04,NOEMA,150.24387432374,411.32391,116.85620
2022-10-29T23:00,NOEMA,134.75597317028,228.08337,28.43844
2022-10-29T23:00,NOEMA,150.24421176508,329.63164,40.38197
2022-11-26T22:16,NOEMA,134.75590209829,110.95711,30.19625
2022-11-26T22:16,NOEMA,150.24488759982,118.52286,32.35474
2022-11-01T23:03,NOEMA,207.25595702444,174.74578,48.18656
2022-11-01T23:03,NOEMA,222.74427842305,197.77667,51.61712
2022-10-11T02:53,NOEMA,207.25601939076,574.41059,113.97793
2022-10-11T02:53,NOEMA,222.74381884103,551.33384,117.13276
2022-10-12T02:50,NOEMA,77.256156773686,297.87291,82.15098
2022-10-12T02:50,NOEMA,92.743978331851,315.95311,78.26220
2022-10-28T00:54,NOEMA,77.255822061322,362.62197,113.16868
2022-10-28T00:54,NOEMA,92.744022891325,299.01057,93.22491
2022-10-28T00:54,NOEMA,150.24421176508,327.92110,37.43634
2022-11-18T20:08,NOEMA,77.255326833277,251.52585,39.10687
2022-11-18T20:08,NOEMA,92.744087801932,304.47277,30.06485
2022-12-14T18:56,NOEMA,77.2547511038,131.48545,27.92353
2022-12-14T18:56,NOEMA,92.744165775076,152.81896,23.97733
2023-03-23T13:19,NOEMA,77.254,24.61566,44.53275
2023-03-23T13:19,NOEMA,92.744208041954,12.01487,47.11081

