JD,Tel,Freq,Flux,eFlux
2459857.421527778,NOEMA,77.256,282.86253,74.96451
2459857.421527778,NOEMA,92.744,245.06647,64.90711
2459863.386111111,NOEMA,134.75602683896,212.14189,47.49930
2459863.386111111,NOEMA,150.2438018555,231.84039,57.26809
2459863.53125,NOEMA,77.256185684745,238.87508,35.17173
2459863.53125,NOEMA,92.743973884346,283.83363,32.34012
2459866.475,NOEMA,77.256130049939,169.52503,39.22323
2459866.475,NOEMA,92.743979140582,178.58792,37.40251
2459866.586111111,NOEMA,134.75601130298,276.50940,86.98813
2459866.586111111,NOEMA,150.24387432374,411.32391,116.85620
2459882.4583333335,NOEMA,134.75597317028,228.08337,28.43844
2459882.4583333335,NOEMA,150.24421176508,329.63164,40.38197
2459910.427777778,NOEMA,134.75590209829,110.95711,30.19625
2459910.427777778,NOEMA,150.24488759982,118.52286,32.35474
2459886.384722222,NOEMA,207.25595702444,174.74578,48.18656
2459886.384722222,NOEMA,222.74427842305,197.77667,51.61712
2459863.6201388887,NOEMA,207.25601939076,574.41059,113.97793
2459863.6201388887,NOEMA,222.74381884103,551.33384,117.13276
2459864.6180555555,NOEMA,77.256156773686,297.87291,82.15098
2459864.6180555555,NOEMA,92.743978331851,315.95311,78.26220
2459880.5375,NOEMA,77.255822061322,362.62197,113.16868
2459880.5375,NOEMA,92.744022891325,299.01057,93.22491
2459882.4583333335,NOEMA,132.72094130757,309.22384,33.32237
2459882.4583333335,NOEMA,150.24421176508,327.92110,37.43634
2459902.3388888887,NOEMA,77.255326833277,251.52585,39.10687
2459902.3388888887,NOEMA,92.744087801932,304.47277,30.06485
2459910.427777778,NOEMA,134.75590209829,110.95711,30.19625
2459910.427777778,NOEMA,150.24488759982,118.52286,32.35474
2459928.288888889,NOEMA,77.2547511038,131.48545,27.92353
2459928.288888889,NOEMA,92.744165775076,152.81896,23.97733
